Время (миллисекунды);элементы
0,000198;583
0,0002;652
0,00018;464
0,000176;286
0,000175;278
0,000175;327
0,000155;333
0,000191;762
0,000158;411
0,000172;152
0,000174;381
0,000155;111
0,000191;123
0,000178;409
0,000156;193
0,000171;353
0,000194;258
0,000179;587
0,000236;208
0,000227;435
0,000185;389
0,000157;285
0,000211;161
0,000222;226
0,000164;194
0,000173;130
0,000155;629
0,000211;186
0,000202;417
0,00018;799
0,000316;372
0,000203;260
0,000201;161
0,00026;621
0,000212;494
0,000222;213
0,000204;331
0,000181;552
0,000216;163
0,000223;539
0,000205;322
0,000221;765
0,000244;357
0,000229;110
0,000186;200
0,000237;466
0,000247;527
0,000229;126
0,000206;595
0,000281;502
0,000316;346
0,000183;276
0,000217;187
0,000163;154
0,000133;324
0,000207;368
0,000181;328
0,000156;360
0,000151;157
0,00023;391
0,000306;233
0,000201;409
0,00022;112
0,000224;510
0,000145;312
0,000189;298
0,000138;158
0,000168;591
0,000234;725
0,000167;585
0,000153;399
0,000171;557
0,000154;410
0,000211;284
0,000202;531
0,00022;804
0,000244;470
0,000289;546
0,000238;195
0,000188;248
0,000158;13
0,000172;560
0,000154;306
0,000131;311
0,000186;133
0,000177;593
0,000155;177
0,000251;354
0,00021;380
0,000182;522
0,000296;300
0,000199;220
0,00018;461
0,000296;428
0,000159;267
0,000172;769
0,000194;282
0,000219;131
0,000244;67
0,000169;409
0,000134;411
0,000207;573
0,000301;556
0,0003;243
0,0002;592
0,00018;345
0,000176;174
0,000135;192
0,000167;130
0,000193;906
0,000199;695
0,00016;302
0,000172;277
0,000194;468
0,000179;355
0,000176;406
0,000195;294
0,000159;477
0,000132;710
0,000306;506
0,000241;118
0,000308;217
0,000362;225
0,000192;203
0,000178;594
0,000216;171
0,000203;276
0,000241;541
0,000208;354
0,000202;135
0,00022;161
0,000284;307
0,000197;339
0,000219;74
0,000284;209
0,000257;308
0,000231;323
0,000186;145
0,000177;101
0,000155;207
0,000231;451
0,000206;294
0,000181;615
0,000196;647
0,000199;199
0,00016;335
0,000152;455
0,00019;775
0,000178;216
0,000236;475
0,000187;192
0,000177;324
0,000195;287
0,000159;562
0,000172;141
0,000174;584
0,000255;766
0,000191;366
0,000198;384
0,0002;574
0,00014;219
0,000208;429
0,000202;652
0,00028;401
0,000216;108
0,000263;509
0,000233;693
0,000287;368
0,000217;371
0,000223;517
0,000165;528
0,000153;1070
0,000191;708
0,000178;639
0,000156;79
0,000211;161
0,000262;508
0,000212;254
